,Wavelength,Intensity,Intensity_1425,Intensity_1285,Intensity_830,Intensity_940,Intensity_1150,Intensity_1535
296,1342,0.835296295,0.292100021139,0.542938752199,6.33139411912e-192,7.86159887157e-23,0.0225336246481,2.31258686549e-15
297,1344,0.828597333,0.309273080321,0.525553300995,1.97784117019e-193,4.80454922539e-23,0.0208521280488,4.46734628262e-15
298,1346,0.823026187,0.327008608967,0.508117536226,6.09505705343e-195,2.92906649914e-23,0.0192764407491,8.5728351372e-15
299,1348,0.813215794,0.345289035268,0.490674045818,1.85292753796e-196,1.78131462538e-23,0.0178016578455,1.63426551754e-14
300,1350,0.799583837,0.364093498152,0.473264007835,5.55691040287e-198,1.08065446788e-23,0.0164229506712,3.094881706e-14
301,1352,0.786743952,0.383397780568,0.455927045766,1.6440031725e-199,6.53985155725e-24,0.0151355798829,5.82222227617e-14
302,1354,0.773664778,0.4031742626,0.438701097983,4.7980658739e-201,3.94806001489e-24,0.0139349071041,1.08806991038e-13
303,1356,0.76071235,0.423391895914,0.421622301759,1.38141465591e-202,2.37757605671e-24,0.0128164051672,2.01998484178e-13
304,1358,0.752725678,0.444016200861,0.404724892145,3.92352306903e-204,1.42830155494e-24,0.011775667005,3.72531251709e-13
305,1360,0.750150268,0.46500928745,0.388041115843,1.09931628051e-205,8.55933879884e-25,0.0108084132449,6.82496775716e-13
306,1362,0.749585408,0.486329901186,0.371601160105,3.03852915086e-207,5.11676348649e-25,0.00991049856725,1.24211494591e-12
307,1364,0.751554075,0.507933494624,0.355433096549,8.28511331804e-209,3.05130265151e-25,0.00907791688962,2.24567168015e-12
308,1366,0.757375345,0.529772325233,0.339562839671,2.22857778199e-210,1.81513966659e-25,0.00830680544368,4.03323965038e-12
309,1368,0.765106519,0.551795579978,0.32401411972,5.91359309745e-212,1.07713373153e-25,0.00759344781226,7.19589943071e-12
310,1370,0.771508033,0.573949526737,0.308808469516,1.54799437494e-213,6.37623071525e-26,0.00693427599658,1.27537950356e-11
311,1372,0.774784336,0.596177692464,0.293965224651,3.99743689268e-215,3.76524497216e-26,0.00632587158365,2.24552074996e-11
312,1374,0.776372982,0.618421067712,0.279501536489,1.01832909541e-216,2.21797817928e-26,0.00576496608432,3.92751636266e-11
313,1376,0.777707617,0.640618336857,0.265432397263,2.55911019406e-218,1.30333518237e-26,0.00524844051196,6.82405038433e-11
314,1378,0.774604849,0.662706133109,0.2517706765,6.34430596264e-220,7.6399371543e-27,0.00477332427087,1.17784932542e-10
315,1380,0.775210305,0.684619317103,0.238527167989,1.55157777405e-221,4.46743529564e-27,0.00433679342196,2.01957758339e-10
316,1382,0.780717171,0.706291277594,0.225710646407,3.74332279165e-223,2.60592296858e-27,0.00393616839175,3.43996985411e-10
317,1384,0.791459116,0.727654252514,0.21332793273,8.90913018932e-225,1.51635083281e-27,0.00356891118829,5.82065720225e-10
318,1386,0.802772851,0.748639668387,0.201383967508,2.09173965735e-226,8.80182302602e-28,0.00323262218532,9.78391566385e-10
319,1388,0.818598421,0.769178495876,0.189881891063,4.84478214975e-228,5.09659809894e-28,0.00292503653332,1.63371640152e-09
320,1390,0.833324737,0.789201618975,0.178823129684,1.10696827527e-229,2.94389937466e-28,0.00264402025314,2.70996654163e-09
321,1392,0.847786776,0.808640215185,0.168207486876,2.49511400497e-231,1.69629097874e-28,0.00238756606469,4.46554509994e-09
322,1394,0.85806072,0.827426143823,0.158033238745,5.54804418721e-233,9.75017837984e-29,0.0021537890004,7.30984758999e-09
323,1396,0.868072555,0.845492339439,0.148297232617,1.21698080108e-234,5.59061502906e-29,0.00194092184937,1.18868136779e-08
324,1398,0.875761627,0.862773207233,0.138994988004,2.63343037526e-236,3.19772735291e-29,0.00174731047528,1.92019741096e-08
325,1400,0.886582571,0.879205017214,0.130120799093,5.62152637278e-238,1.82455976529e-29,0.00157140904748,3.08141076469e-08
326,1402,0.895922618,0.894726293834,0.121667837939,1.18380716007e-239,1.03850734673e-29,0.00141177522161,4.91220635015e-08
327,1404,0.907692308,0.909278197774,0.113628257604,2.45924598195e-241,5.89652128313e-30,0.00126706530265,7.77905604017e-08
328,1406,0.918816568,0.922804896571,0.105993294547,5.03984612256e-243,3.33977327651e-30,0.00113602942033,1.22377193514e-07
329,1408,0.931597633,0.935253920845,0.0987533695789,1.01888901745e-244,1.88700442219e-30,0.00101750674348,1.91248205818e-07
330,1410,0.941065089,0.946576502932,0.0918981868021,2.03203312596e-246,1.06356409674e-30,0.000910420757164,2.96905020257e-07
331,1412,0.953017751,0.956727894882,0.0854168299779,3.99787291031e-248,5.97983548736e-31,0.000813774623396,4.57889836206e-07
332,1414,0.964023669,0.965667662923,0.0792978558275,7.7592810498e-250,3.35389623369e-31,0.000726646643559,7.01500132438e-07
333,1416,0.97443787,0.973359955667,0.0735293838413,1.48562185476e-251,1.87648382478e-31,0.000648185838127,1.06762270743e-06
334,1418,0.98295858,0.979773743591,0.0680991822204,2.80601103479e-253,1.04730902543e-31,0.000577607656752,1.61410260486e-06
335,1420,0.989704142,0.984883027532,0.0629947496356,5.22835138365e-255,5.83095493418e-32,0.000514189829574,2.4241961973e-06
336,1422,0.994556213,0.988667014255,0.0582033925439,9.61024498527e-257,3.23846599586e-32,0.000457268368472,3.6168265667e-06
337,1424,0.995029586,0.991110257423,0.0537122978577,1.74260296333e-258,1.7942122412e-32,0.00040623372502,5.3605690386e-06
338,1426,0.993491124,0.992202762637,0.0495086008155,3.11714306855e-260,9.91615044497e-33,0.000360527110114,7.89255095467e-06
339,1428,0.990414201,0.991940055541,0.0455794479521,5.50059058686e-262,5.4669766199e-33,0.000319636978614,1.15437572705e-05
340,1430,0.987810651,0.990323212351,0.0419120551119,9.57538412291e-264,3.00667262682e-33,0.000283095680847,1.67725953471e-05
341,1432,0.982721893,0.987358852513,0.0384937604958,1.64436182904e-265,1.64952874693e-33,0.000250476281507,2.42089884721e-05
342,1434,0.980118343,0.983059093552,0.0353120727714,2.78569052367e-267,9.02751982975e-34,0.000221389545282,3.47117339956e-05
343,1436,0.976804734,0.977441468555,0.0323547143119,4.65546048663e-269,4.92846675386e-34,0.000195481087513,4.9442368325e-05
344,1438,0.972781065,0.97052880707,0.029609659666,7.67514733543e-271,2.68404646053e-34,0.000172428687269,6.99593093383e-05
345,1440,0.963786982,0.962349080551,0.0270651693879,1.2482601194e-272,1.45815282882e-34,0.000151939759427,9.83365691588e-05
346,1442,0.954201183,0.952935213814,0.0247098193842,2.00270862393e-274,7.90225205299e-35,0.000133748981702,0.000137311806953
347,1444,0.942721893,0.942324864283,0.0225325259577,3.16974801506e-276,4.27202247577e-35,0.000117616071974,0.000190468869232
348,1446,0.929529012,0.930560171097,0.0205225667448,4.94909747194e-278,2.30383301457e-35,0.000103323710838,0.000262460176098
349,1448,0.915807418,0.917687476419,0.0186695977618,7.62292372306e-280,1.23937657617e-35,9.06756039025e-05,0.000359274273148
350,1450,0.904934795,0.903757021519,0.0169636667863,1.1582743503e-281,6.65105268249e-36,7.94946781252e-05,0.000488553483377
351,1452,0.89466402,0.888822620424,0.0153952233078,1.73618341072e-283,3.56051081728e-36,6.96214062191e-05,0.000659965753513
352,1454,0.880509611,0.872941314097,0.01395512529,2.56728488234e-285,1.90138055833e-36,6.09122530781e-05,0.00088563338017
353,1456,0.865607472,0.856173008246,0.0126346429904,3.74495689087e-287,1.01288608764e-36,5.32382380724e-05,0.00118061920961
