,Wavelength,Intensity,Intensity_1416,Intensity_1320,Intensity_1200,Intensity_1655,Intensity_1535
155,1155,5.07702e-07,1.5989707749e-13,5.89055502871e-11,4.93083154409e-07,0.0,1.73439618797e-129
156,1156,5.04487e-07,1.81800477773e-13,6.61647100586e-11,4.95458835294e-07,0.0,7.58994422484e-129
157,1157,5.08299e-07,2.06601290282e-13,7.42665471862e-11,4.97807354494e-07,0.0,3.30861135185e-128
158,1158,5.05789e-07,2.34668368418e-13,8.33022392012e-11,5.00128218143e-07,0.0,1.43671234461e-127
159,1159,5.01154e-07,2.66415564308e-13,9.33720171704e-11,5.02420936504e-07,0.0,6.21456576261e-127
160,1160,4.99076e-07,3.02306961168e-13,1.04585970311e-10,5.04685024136e-07,0.0,2.67774150181e-126
161,1161,4.96988e-07,3.42862681401e-13,1.17064911699e-10,5.06920000071e-07,0.0,1.14932646776e-125
162,1162,4.96689e-07,3.88665329809e-13,1.30941308612e-10,5.09125387979e-07,0.0,4.91399899686e-125
163,1163,4.97275e-07,4.40367136915e-13,1.46360281141e-10,5.11300716336e-07,0.0,2.0928765683e-124
164,1164,5.02773e-07,4.98697873543e-13,1.6348067278e-10,5.13445518595e-07,0.0,8.87910240283e-124
165,1165,4.95409e-07,5.64473614452e-13,1.82476196799e-10,5.15559333351e-07,0.0,3.75241972893e-123
166,1166,4.9972e-07,6.38606436039e-13,2.03536662206e-10,5.17641704506e-07,0.0,1.57968557892e-122
167,1167,5.0174e-07,7.22115140938e-13,2.26869283215e-10,5.1969218143e-07,0.0,6.62440373112e-122
168,1168,5.07304e-07,8.16137110785e-13,2.52700076095e-10,5.21710319128e-07,0.0,2.76719541632e-121
169,1169,5.10915e-07,9.21941397568e-13,2.81275347312e-10,5.23695678395e-07,0.0,1.15146240526e-120
170,1170,5.15565e-07,1.04094317386e-12,3.12863276834e-10,5.25647825982e-07,0.0,4.77283689544e-120
171,1171,5.23467e-07,1.17471967284e-12,3.47755600442e-10,5.27566334745e-07,0.0,1.97069910961e-119
172,1172,5.27042e-07,1.32502776055e-12,3.86269394787e-10,5.29450783809e-07,0.0,8.10552116867e-119
173,1173,5.29791e-07,1.49382329512e-12,4.28748968845e-10,5.31300758713e-07,0.0,3.3209203937e-118
174,1174,5.32083e-07,1.68328244114e-12,4.75567865285e-10,5.33115851571e-07,0.0,1.35535444022e-117
175,1175,5.45155e-07,1.8958251214e-12,5.27130975058e-10,5.34895661214e-07,0.0,5.51015984387e-117
176,1176,5.43976e-07,2.13414080391e-12,5.83876768347e-10,5.3663979334e-07,0.0,2.23147696914e-116
177,1177,5.40887e-07,2.40121683834e-12,6.46279644714e-10,5.38347860661e-07,0.0,9.00196908618e-116
178,1178,5.43812e-07,2.70036957371e-12,7.14852405003e-10,5.40019483047e-07,0.0,3.61742488908e-115
179,1179,5.48236e-07,3.03527850825e-12,7.90148847209e-10,5.41654287661e-07,0.0,1.44803288341e-114
180,1180,5.50765e-07,3.41002374228e-12,8.72766488096e-10,5.43251909105e-07,0.0,5.77396601406e-114
181,1181,5.44417e-07,3.82912702682e-12,9.63349411931e-10,5.44811989551e-07,0.0,2.29343755092e-113
182,1182,5.46844e-07,4.29759672363e-12,1.06259124715e-09,5.46334178876e-07,0.0,9.07437059236e-113
183,1183,5.42812e-07,4.82097701681e-12,1.17123827124e-09,5.47818134794e-07,0.0,3.57653929648e-112
184,1184,5.44318e-07,5.40540174253e-12,1.29009264343e-09,5.49263522981e-07,0.0,1.40419165418e-111
185,1185,5.38541e-07,6.05765323103e-12,1.42001576423e-09,5.50670017204e-07,0.0,5.49169830643e-111
186,1186,5.43843e-07,6.78522658493e-12,1.56193175982e-09,5.52037299444e-07,0.0,2.13945842149e-110
187,1187,5.48907e-07,7.59639984899e-12,1.71683108888e-09,5.5336506001e-07,0.0,8.30267288716e-110
188,1188,5.55741e-07,8.50031055987e-12,1.8857742681e-09,5.54652997663e-07,0.0,3.20958514668e-109
189,1189,5.61535e-07,9.50703919979e-12,2.06989571201e-09,5.55900819727e-07,0.0,1.23593824753e-108
190,1190,5.62691e-07,1.0627700115e-11,2.27040768148e-09,5.57108242198e-07,0.0,4.74090813157e-108
191,1191,5.64745e-07,1.18745404997e-11,2.48860433442e-09,5.58274989854e-07,0.0,1.81152029582e-107
192,1192,5.68632e-07,1.32610480866e-11,2.72586587065e-09,5.59400796359e-07,0.0,6.89511899212e-107
193,1193,5.69003e-07,1.48020682308e-11,2.98366276203e-09,5.60485404364e-07,0.0,2.61431083909e-106
194,1194,5.72394e-07,1.65139311178e-11,3.26356005745e-09,5.61528565605e-07,0.0,9.87391941646e-106
195,1195,5.70464e-07,1.84145898749e-11,3.5672217509e-09,5.62530041e-07,0.0,3.71482902684e-105
196,1196,5.72113e-07,2.05237704177e-11,3.89641519946e-09,5.63489600735e-07,0.0,1.39221073793e-104
197,1197,5.65421e-07,2.28631339146e-11,4.25301557662e-09,5.64407024357e-07,0.0,5.19742252986e-104
198,1198,5.69733e-07,2.54564528066e-11,4.63901034449e-09,5.65282100857e-07,0.0,1.93280467381e-103
199,1199,5.64289e-07,2.83298013818e-11,5.05650372734e-09,5.66114628749e-07,0.0,7.1598645504e-103
